input_text,corrected_text,error_count,error_types,label
Naglalaro sila ng basketball,Naglalaro sila ng basketball,1,grammar,dyslexic
Ang mga bituin ay kumikislap sa gabi,Ang mga bituin ay kumikislap sa gabi,0,none,non_dyslexic
Ang pusa ng tumatalon sa kama,Ang mga bituin ay kumikislap sa gabi,1,grammar,dyslexic
Ang aking pusa ay napaka-cute,Ang aking pusa ay napaka-cute,0,none,non_dyslexic
Mahilig siyang mag-drawing,Ang aking pusa ay napaka-cute,1,spelling,dyslexic
Ang mga bulaklak ay namumulaklak,Ang mga bulaklak ay namumulaklak,0,none,non_dyslexic
Ako ay tumatakbo ng mabilis,Ang mga bulaklak ay namumulaklak,1,spelling,dyslexic
Pumunta kami sa dalampasigan,Pumunta kami sa dalampasigan,0,none,non_dyslexic
Mahilig siyang mag-drawing,Pumunta kami sa dalampasigan,1,spelling,dyslexic
Ang puno ay mataas at malakas,Ang puno ay mataas at malakas,0,none,non_dyslexic
Naglalaro sila ng basketball,Ang puno ay mataas at malakas,1,grammar,dyslexic
Ang aking pusa ay napaka-cute,Ang aking pusa ay napaka-cute,0,none,non_dyslexic
Ang aso ay tumatakbo sa parke,Ang aking pusa ay napaka-cute,1,spelling,dyslexic
Pumunta kami sa dalampasigan,Pumunta kami sa dalampasigan,0,none,non_dyslexic
Ang puno ay mataas at malakas,Pumunta kami sa dalampasigan,1,spelling,dyslexic
Ang aking pusa ay napaka-cute,Ang aking pusa ay napaka-cute,0,none,non_dyslexic
Ang sasakyan ng nakaparada sa labas,Ang aking pusa ay napaka-cute,1,grammar,dyslexic
Ang sasakyan ay nakaparada sa labas,Ang sasakyan ay nakaparada sa labas,0,none,non_dyslexic
Ang puno ng mataas at malakas,Ang sasakyan ay nakaparada sa labas,1,grammar,dyslexic
Ang aking kapatid ay naglalaro ng bola,Ang aking kapatid ay naglalaro ng bola,0,none,non_dyslexic
Ang aking pusa ng napaka-cute,Ang aking kapatid ay naglalaro ng bola,1,grammar,dyslexic
Naglalaro sila ng basketball,Naglalaro sila ng basketball,0,none,non_dyslexic
Nakikita ko ang isang bahaghari sa langit,Naglalaro sila ng basketball,1,spelling,dyslexic
Nakikita ko ang isang bahaghari sa langit,Nakikita ko ang isang bahaghari sa langit,0,none,non_dyslexic
Nagbabasa siya ng libro,Nakikita ko ang isang bahaghari sa langit,1,grammar,dyslexic
Naglalaro sila ng basketball,Naglalaro sila ng basketball,0,none,non_dyslexic
Nakikita ko ang isang bahaghari sa langit,Naglalaro sila ng basketball,1,grammar,dyslexic
Ang mga bulaklak ay namumulaklak,Ang mga bulaklak ay namumulaklak,0,none,non_dyslexic
Mahilig siyang mag-drawing,Ang mga bulaklak ay namumulaklak,1,spelling,dyslexic
Nakikita ko ang isang bahaghari sa langit,Nakikita ko ang isang bahaghari sa langit,0,none,non_dyslexic
Ang aking pusa ng napaka-cute,Nakikita ko ang isang bahaghari sa langit,1,grammar,dyslexic
Ang ibon ay lumilipad sa taas,Ang ibon ay lumilipad sa taas,0,none,non_dyslexic
Mahilig siyang mag-drawing,Ang ibon ay lumilipad sa taas,1,grammar,dyslexic
Ang pusa ay tumatalon sa kama,Ang pusa ay tumatalon sa kama,0,none,non_dyslexic
Ang sasakyan ay nakaparada sa labas,Ang pusa ay tumatalon sa kama,1,spelling,dyslexic
Ang aso ay tumatakbo sa parke,Ang aso ay tumatakbo sa parke,0,none,non_dyslexic
Ang aso ay tumatakbo sa parke,Ang aso ay tumatakbo sa parke,1,spelling,dyslexic
Ang pusa ay tumatalon sa kama,Ang pusa ay tumatalon sa kama,0,none,non_dyslexic
Ang aking kapatid ay naglalaro ng bola,Ang pusa ay tumatalon sa kama,1,spelling,dyslexic
Ako ay tumatakbo ng mabilis,Ako ay tumatakbo ng mabilis,0,none,non_dyslexic
Pumunta kami sa zoo,Ako ay tumatakbo ng mabilis,1,spelling,dyslexic
Ako ay tumatakbo ng mabilis,Ako ay tumatakbo ng mabilis,0,none,non_dyslexic
Ang puno ay mataas at malakas,Ako ay tumatakbo ng mabilis,1,spelling,dyslexic
Siya ay kumakain ng mansanas,Siya ay kumakain ng mansanas,0,none,non_dyslexic
Naglalaro sila ng basketball,Siya ay kumakain ng mansanas,1,spelling,dyslexic
Ang aso ay tumatakbo sa parke,Ang aso ay tumatakbo sa parke,0,none,non_dyslexic
Ang araw ng sumisikat sa langit,Ang aso ay tumatakbo sa parke,1,grammar,dyslexic
Ang pusa ay tumatalon sa kama,Ang pusa ay tumatalon sa kama,0,none,non_dyslexic
Ang araw ay sumisikat sa langit,Ang pusa ay tumatalon sa kama,1,spelling,dyslexic
Ang araw ay sumisikat sa langit,Ang araw ay sumisikat sa langit,0,none,non_dyslexic
Ang sasakyan ng nakaparada sa labas,Ang araw ay sumisikat sa langit,1,grammar,dyslexic
Ang aso ay tumatakbo sa parke,Ang aso ay tumatakbo sa parke,0,none,non_dyslexic
Naglalaro kami ng bola,Ang aso ay tumatakbo sa parke,1,grammar,dyslexic
Pumunta kami sa zoo,Pumunta kami sa zoo,0,none,non_dyslexic
Ang pusa ay tumatalon sa kama,Pumunta kami sa zoo,1,spelling,dyslexic
Nagbabasa siya ng libro,Nagbabasa siya ng libro,0,none,non_dyslexic
Ang araw ay sumisikat sa langit,Nagbabasa siya ng libro,1,spelling,dyslexic
Naglalaro kami ng bola,Naglalaro kami ng bola,0,none,non_dyslexic
Pumunta kami sa zoo,Naglalaro kami ng bola,1,spelling,dyslexic
Ang puno ay mataas at malakas,Ang puno ay mataas at malakas,0,none,non_dyslexic
Nakikita ko ang isang bahagari sa langit,Ang puno ay mataas at malakas,1,spelling,dyslexic
Pumunta kami sa dalampasigan,Pumunta kami sa dalampasigan,0,none,non_dyslexic
Ako ng tumatakbo ng mabilis,Pumunta kami sa dalampasigan,1,grammar,dyslexic
Mahilig siyang mag-drawing,Mahilig siyang mag-drawing,0,none,non_dyslexic
Ang aking kapatid ng naglalaro ng bola,Mahilig siyang mag-drawing,1,grammar,dyslexic
Ang ibon ay lumilipad sa taas,Ang ibon ay lumilipad sa taas,0,none,non_dyslexic
Ang araw ay sumisikat sa langit,Ang ibon ay lumilipad sa taas,1,spelling,dyslexic
Siya ay kumakain ng mansanas,Siya ay kumakain ng mansanas,0,none,non_dyslexic
Ang aking pusa ng napaka-cute,Siya ay kumakain ng mansanas,1,grammar,dyslexic
Pumunta kami sa dalampasigan,Pumunta kami sa dalampasigan,0,none,non_dyslexic
Siya ay kumakain ng mansanas,Pumunta kami sa dalampasigan,1,spelling,dyslexic
Ang mga bulaklak ay namumulaklak,Ang mga bulaklak ay namumulaklak,0,none,non_dyslexic
Ang ibon ay lumilipad sa taas,Ang mga bulaklak ay namumulaklak,1,spelling,dyslexic
Ang aking pusa ay napaka-cute,Ang aking pusa ay napaka-cute,0,none,non_dyslexic
Pumunta kami sa zoo,Ang aking pusa ay napaka-cute,1,grammar,dyslexic
Ang mga bulaklak ay namumulaklak,Ang mga bulaklak ay namumulaklak,0,none,non_dyslexic
Nakikita ko ang isang bahaghari sa langit,Ang mga bulaklak ay namumulaklak,1,grammar,dyslexic
Ang mga bituin ay kumikislap sa gabi,Ang mga bituin ay kumikislap sa gabi,0,none,non_dyslexic
Nakikita ko ang isang malaking puno,Ang mga bituin ay kumikislap sa gabi,1,grammar,dyslexic
Nagbabasa siya ng libro,Nagbabasa siya ng libro,0,none,non_dyslexic
Ang aking kapatid ng naglalaro ng bola,Nagbabasa siya ng libro,1,grammar,dyslexic
Nakikita ko ang isang bahaghari sa langit,Nakikita ko ang isang bahaghari sa langit,0,none,non_dyslexic
Ang ibon ng lumilipad sa taas,Nakikita ko ang isang bahaghari sa langit,1,grammar,dyslexic
Nakikita ko ang isang malaking puno,Nakikita ko ang isang malaking puno,0,none,non_dyslexic
Ang aking pusa ng napaka-cute,Nakikita ko ang isang malaking puno,1,grammar,dyslexic
Ang aking kapatid ay naglalaro ng bola,Ang aking kapatid ay naglalaro ng bola,0,none,non_dyslexic
Ako ng tumatakbo ng mabilis,Ang aking kapatid ay naglalaro ng bola,1,grammar,dyslexic
Ang mga bulaklak ay namumulaklak,Ang mga bulaklak ay namumulaklak,0,none,non_dyslexic
Ang pusa ay tumatalon sa kama,Ang mga bulaklak ay namumulaklak,1,spelling,dyslexic
Ang mga bituin ay kumikislap sa gabi,Ang mga bituin ay kumikislap sa gabi,0,none,non_dyslexic
Ang araw ng sumisikat sa langit,Ang mga bituin ay kumikislap sa gabi,1,grammar,dyslexic
Ang puno ay mataas at malakas,Ang puno ay mataas at malakas,0,none,non_dyslexic
Nakikita ko ang isang malaking punno,Ang puno ay mataas at malakas,1,spelling,dyslexic
Ang aso ay tumatakbo sa parke,Ang aso ay tumatakbo sa parke,0,none,non_dyslexic
Ang aking kapatid ay naglalaro ng bola,Ang aso ay tumatakbo sa parke,1,spelling,dyslexic
Naglalaro kami ng bola,Naglalaro kami ng bola,0,none,non_dyslexic
Ang pusa ng tumatalon sa kama,Naglalaro kami ng bola,1,grammar,dyslexic
Ang aking kapatid ay naglalaro ng bola,Ang aking kapatid ay naglalaro ng bola,0,none,non_dyslexic
Ang ibon ay lumilipad sa taas,Ang aking kapatid ay naglalaro ng bola,1,spelling,dyslexic
Siya ay kumakain ng mansanas,Siya ay kumakain ng mansanas,0,none,non_dyslexic
Siya ng kumakain ng mansanas,Siya ay kumakain ng mansanas,1,grammar,dyslexic
Naglalaro sila ng basketball,Naglalaro sila ng basketball,0,none,non_dyslexic
Mahilig siyang mag-drawing,Naglalaro sila ng basketball,1,grammar,dyslexic
Nakikita ko ang isang bahaghari sa langit,Nakikita ko ang isang bahaghari sa langit,0,none,non_dyslexic
Ang pusa ng tumatalon sa kama,Nakikita ko ang isang bahaghari sa langit,1,grammar,dyslexic
Mahilig siyang mag-drawing,Mahilig siyang mag-drawing,0,none,non_dyslexic
Ang sasakyan ay nakaparada sa labas,Mahilig siyang mag-drawing,1,spelling,dyslexic
Ako ay tumatakbo ng mabilis,Ako ay tumatakbo ng mabilis,0,none,non_dyslexic
Siya ay kumakain ng mansanas,Ako ay tumatakbo ng mabilis,1,spelling,dyslexic
Nakikita ko ang isang malaking puno,Nakikita ko ang isang malaking puno,0,none,non_dyslexic
Siya ay kumakain ng mansas,Nakikita ko ang isang malaking puno,1,spelling,dyslexic
Nagbabasa siya ng libro,Nagbabasa siya ng libro,0,none,non_dyslexic
Ang pusa ng tumatalon sa kama,Nagbabasa siya ng libro,1,grammar,dyslexic
Siya ay kumakain ng mansanas,Siya ay kumakain ng mansanas,0,none,non_dyslexic
Nagbabasa siya ng libro,Siya ay kumakain ng mansanas,1,grammar,dyslexic
Mahilig siyang mag-drawing,Mahilig siyang mag-drawing,0,none,non_dyslexic
Ang mga bulaklak ay namumulaklak,Mahilig siyang mag-drawing,1,spelling,dyslexic
Nakikita ko ang isang malaking puno,Nakikita ko ang isang malaking puno,0,none,non_dyslexic
Ang aking kapatid ay naglalaro ng bola,Nakikita ko ang isang malaking puno,1,spelling,dyslexic
Naglalaro sila ng basketball,Naglalaro sila ng basketball,0,none,non_dyslexic
Ang mga bulaklak ay namumulaklak,Naglalaro sila ng basketball,1,spelling,dyslexic
Ang araw ay sumisikat sa langit,Ang araw ay sumisikat sa langit,0,none,non_dyslexic
Ang araw ng sumisikat sa langit,Ang araw ay sumisikat sa langit,1,grammar,dyslexic
Naglalaro kami ng bola,Naglalaro kami ng bola,0,none,non_dyslexic
Nakikita ko ang isang malaking puno,Naglalaro kami ng bola,1,spelling,dyslexic
Siya ay kumakain ng mansanas,Siya ay kumakain ng mansanas,0,none,non_dyslexic
Ang araw ng sumisikat sa langit,Siya ay kumakain ng mansanas,1,grammar,dyslexic
Ang araw ay sumisikat sa langit,Ang araw ay sumisikat sa langit,0,none,non_dyslexic
Pumunta kami sa zoo,Ang araw ay sumisikat sa langit,1,spelling,dyslexic
Nakikita ko ang isang malaking puno,Nakikita ko ang isang malaking puno,0,none,non_dyslexic
Pumunta kami sa zoo,Nakikita ko ang isang malaking puno,1,spelling,dyslexic
Ang mga bulaklak ay namumulaklak,Ang mga bulaklak ay namumulaklak,0,none,non_dyslexic
Ang aking kapatid ay naglalaro ng bola,Ang mga bulaklak ay namumulaklak,1,spelling,dyslexic
Ang puno ay mataas at malakas,Ang puno ay mataas at malakas,0,none,non_dyslexic
Naglalaro sila ng basketball,Ang puno ay mataas at malakas,1,grammar,dyslexic
Ang pusa ay tumatalon sa kama,Ang pusa ay tumatalon sa kama,0,none,non_dyslexic
Ang sasakyan ng nakaparada sa labas,Ang pusa ay tumatalon sa kama,1,grammar,dyslexic
Pumunta kami sa zoo,Pumunta kami sa zoo,0,none,non_dyslexic
Ang aso ng tumatakbo sa parke,Pumunta kami sa zoo,1,grammar,dyslexic
Mahilig siyang mag-drawing,Mahilig siyang mag-drawing,0,none,non_dyslexic
Ang araw ay sumisikat sa langit,Mahilig siyang mag-drawing,1,spelling,dyslexic
Ang puno ay mataas at malakas,Ang puno ay mataas at malakas,0,none,non_dyslexic
Nakikita ko ang isang malaking puno,Ang puno ay mataas at malakas,1,grammar,dyslexic
Nagbabasa siya ng libro,Nagbabasa siya ng libro,0,none,non_dyslexic
Naglalaro sila ng baskatball,Nagbabasa siya ng libro,1,spelling,dyslexic
Ang aso ay tumatakbo sa parke,Ang aso ay tumatakbo sa parke,0,none,non_dyslexic
Ang mga bulaklak ng namumulaklak,Ang aso ay tumatakbo sa parke,1,grammar,dyslexic
Nakikita ko ang isang malaking puno,Nakikita ko ang isang malaking puno,0,none,non_dyslexic
Naglalaro kami ng bola,Nakikita ko ang isang malaking puno,1,spelling,dyslexic
Ang ibon ay lumilipad sa taas,Ang ibon ay lumilipad sa taas,0,none,non_dyslexic
Nakikita ko ang isang malaking puno,Ang ibon ay lumilipad sa taas,1,spelling,dyslexic
Ang sasakyan ay nakaparada sa labas,Ang sasakyan ay nakaparada sa labas,0,none,non_dyslexic
Pumunta kami sa zoo,Ang sasakyan ay nakaparada sa labas,1,spelling,dyslexic
Ang puno ay mataas at malakas,Ang puno ay mataas at malakas,0,none,non_dyslexic
Ang aking kapatid ng naglalaro ng bola,Ang puno ay mataas at malakas,1,grammar,dyslexic
Pumunta kami sa zoo,Pumunta kami sa zoo,0,none,non_dyslexic
Naglalaro kami ng bolla,Pumunta kami sa zoo,1,spelling,dyslexic
Siya ay kumakain ng mansanas,Siya ay kumakain ng mansanas,0,none,non_dyslexic
Ang pusa ay tumatalon sa kama,Siya ay kumakain ng mansanas,1,spelling,dyslexic
Nagbabasa siya ng libro,Nagbabasa siya ng libro,0,none,non_dyslexic
Pumunta kami sa zoo,Nagbabasa siya ng libro,1,spelling,dyslexic
Naglalaro kami ng bola,Naglalaro kami ng bola,0,none,non_dyslexic
Naglalaro kami ng bola,Naglalaro kami ng bola,1,grammar,dyslexic
Pumunta kami sa zoo,Pumunta kami sa zoo,0,none,non_dyslexic
Siya ng kumakain ng mansanas,Pumunta kami sa zoo,1,grammar,dyslexic
Naglalaro kami ng bola,Naglalaro kami ng bola,0,none,non_dyslexic
Pumunta kami sa dalampasigan,Naglalaro kami ng bola,1,grammar,dyslexic
Ang mga bulaklak ay namumulaklak,Ang mga bulaklak ay namumulaklak,0,none,non_dyslexic
Ang sasakyan ng nakaparada sa labas,Ang mga bulaklak ay namumulaklak,1,grammar,dyslexic
Ako ay tumatakbo ng mabilis,Ako ay tumatakbo ng mabilis,0,none,non_dyslexic
Ang pusa ng tumatalon sa kama,Ako ay tumatakbo ng mabilis,1,grammar,dyslexic
Ako ay tumatakbo ng mabilis,Ako ay tumatakbo ng mabilis,0,none,non_dyslexic
Pumunta kami sa dalampasigan,Ako ay tumatakbo ng mabilis,1,grammar,dyslexic
Naglalaro sila ng basketball,Naglalaro sila ng basketball,0,none,non_dyslexic
Ako ay tumatakbo ng mabilis,Naglalaro sila ng basketball,1,spelling,dyslexic
Ang araw ay sumisikat sa langit,Ang araw ay sumisikat sa langit,0,none,non_dyslexic
Ang ibon ng lumilipad sa taas,Ang araw ay sumisikat sa langit,1,grammar,dyslexic
Ang pusa ay tumatalon sa kama,Ang pusa ay tumatalon sa kama,0,none,non_dyslexic
Ang aking pusa ay napaka-cute,Ang pusa ay tumatalon sa kama,1,spelling,dyslexic
Pumunta kami sa dalampasigan,Pumunta kami sa dalampasigan,0,none,non_dyslexic
Ako ng tumatakbo ng mabilis,Pumunta kami sa dalampasigan,1,grammar,dyslexic
Ang araw ay sumisikat sa langit,Ang araw ay sumisikat sa langit,0,none,non_dyslexic
Ang sasakyan ay nakaparada sa labas,Ang araw ay sumisikat sa langit,1,spelling,dyslexic
Pumunta kami sa dalampasigan,Pumunta kami sa dalampasigan,0,none,non_dyslexic
Ang ibon ay lumilipad sa taas,Pumunta kami sa dalampasigan,1,spelling,dyslexic
Naglalaro kami ng bola,Naglalaro kami ng bola,0,none,non_dyslexic
Ang mga bituin ay kumikislap sa gabi,Naglalaro kami ng bola,1,spelling,dyslexic
Nagbabasa siya ng libro,Nagbabasa siya ng libro,0,none,non_dyslexic
Nakikita ko ang isang bahaghari sa langit,Nagbabasa siya ng libro,1,grammar,dyslexic
Ang araw ay sumisikat sa langit,Ang araw ay sumisikat sa langit,0,none,non_dyslexic
Nakikita ko ang isang bahaghari sa langit,Ang araw ay sumisikat sa langit,1,grammar,dyslexic
Ang araw ay sumisikat sa langit,Ang araw ay sumisikat sa langit,0,none,non_dyslexic
Ako ng tumatakbo ng mabilis,Ang araw ay sumisikat sa langit,1,grammar,dyslexic
Pumunta kami sa dalampasigan,Pumunta kami sa dalampasigan,0,none,non_dyslexic
Ang sasakyan ng nakaparada sa labas,Pumunta kami sa dalampasigan,1,grammar,dyslexic
Ang mga bulaklak ay namumulaklak,Ang mga bulaklak ay namumulaklak,0,none,non_dyslexic
Pumunta kami sa zoo,Ang mga bulaklak ay namumulaklak,1,spelling,dyslexic
Ang mga bituin ay kumikislap sa gabi,Ang mga bituin ay kumikislap sa gabi,0,none,non_dyslexic
Ang pusa ng tumatalon sa kama,Ang mga bituin ay kumikislap sa gabi,1,grammar,dyslexic
Siya ay kumakain ng mansanas,Siya ay kumakain ng mansanas,0,none,non_dyslexic
Nagbabasa siya ng libro,Siya ay kumakain ng mansanas,1,grammar,dyslexic
Ang mga bituin ay kumikislap sa gabi,Ang mga bituin ay kumikislap sa gabi,0,none,non_dyslexic
Nagbabasa siya ng libro,Ang mga bituin ay kumikislap sa gabi,1,grammar,dyslexic
Ang sasakyan ay nakaparada sa labas,Ang sasakyan ay nakaparada sa labas,0,none,non_dyslexic
Nakikita ko ang isang bahaghari sa langit,Ang sasakyan ay nakaparada sa labas,1,grammar,dyslexic
Nagbabasa siya ng libro,Nagbabasa siya ng libro,0,none,non_dyslexic
Nagbabasa siya ng libro,Nagbabasa siya ng libro,1,spelling,dyslexic
Siya ay kumakain ng mansanas,Siya ay kumakain ng mansanas,0,none,non_dyslexic
Ang pusa ay tumatalon sa kama,Siya ay kumakain ng mansanas,1,spelling,dyslexic
Nagbabasa siya ng libro,Nagbabasa siya ng libro,0,none,non_dyslexic
Siya ay kumakain ng mansanas,Nagbabasa siya ng libro,1,spelling,dyslexic
Siya ay kumakain ng mansanas,Siya ay kumakain ng mansanas,0,none,non_dyslexic
Ang puno ay mataas at malakas,Siya ay kumakain ng mansanas,1,spelling,dyslexic
Ang mga bulaklak ay namumulaklak,Ang mga bulaklak ay namumulaklak,0,none,non_dyslexic
Mahilig siyang mag-drawing,Ang mga bulaklak ay namumulaklak,1,grammar,dyslexic
Nagbabasa siya ng libro,Nagbabasa siya ng libro,0,none,non_dyslexic
Pumunta kami sa zoo,Nagbabasa siya ng libro,1,spelling,dyslexic
Nagbabasa siya ng libro,Nagbabasa siya ng libro,0,none,non_dyslexic
Ang aking kapatid ay naglalaro ng bola,Nagbabasa siya ng libro,1,spelling,dyslexic
Ang ibon ay lumilipad sa taas,Ang ibon ay lumilipad sa taas,0,none,non_dyslexic
Ang aking kapatid ay naglalaro ng bola,Ang ibon ay lumilipad sa taas,1,spelling,dyslexic
Nakikita ko ang isang malaking puno,Nakikita ko ang isang malaking puno,0,none,non_dyslexic
Ang aking kapatid ng naglalaro ng bola,Nakikita ko ang isang malaking puno,1,grammar,dyslexic
Naglalaro sila ng basketball,Naglalaro sila ng basketball,0,none,non_dyslexic
Mahilig siyang mag-drawing,Naglalaro sila ng basketball,1,grammar,dyslexic
Mahilig siyang mag-drawing,Mahilig siyang mag-drawing,0,none,non_dyslexic
Nakikita ko ang isang malaking puno,Mahilig siyang mag-drawing,1,grammar,dyslexic
Naglalaro sila ng basketball,Naglalaro sila ng basketball,0,none,non_dyslexic
Pumunta kami sa dalampasigan,Naglalaro sila ng basketball,1,spelling,dyslexic
Naglalaro sila ng basketball,Naglalaro sila ng basketball,0,none,non_dyslexic
Ang sasakyan ng nakaparada sa labas,Naglalaro sila ng basketball,1,grammar,dyslexic
Nakikita ko ang isang bahaghari sa langit,Nakikita ko ang isang bahaghari sa langit,0,none,non_dyslexic
Ang sasakyan ng nakaparada sa labas,Nakikita ko ang isang bahaghari sa langit,1,grammar,dyslexic
Pumunta kami sa dalampasigan,Pumunta kami sa dalampasigan,0,none,non_dyslexic
Nakikita ko ang isang malaking puno,Pumunta kami sa dalampasigan,1,grammar,dyslexic
Ang pusa ay tumatalon sa kama,Ang pusa ay tumatalon sa kama,0,none,non_dyslexic
Ang mga bituin ng kumikislap sa gabi,Ang pusa ay tumatalon sa kama,1,grammar,dyslexic
Ang puno ay mataas at malakas,Ang puno ay mataas at malakas,0,none,non_dyslexic
Nakikita ko ang isang bahaghari sa langit,Ang puno ay mataas at malakas,1,grammar,dyslexic
Ang aso ay tumatakbo sa parke,Ang aso ay tumatakbo sa parke,0,none,non_dyslexic
Nakikita ko ang isang malaking puno,Ang aso ay tumatakbo sa parke,1,grammar,dyslexic
Nakikita ko ang isang bahaghari sa langit,Nakikita ko ang isang bahaghari sa langit,0,none,non_dyslexic
Ako ay tumatakbo ng mabilis,Nakikita ko ang isang bahaghari sa langit,1,spelling,dyslexic
Siya ay kumakain ng mansanas,Siya ay kumakain ng mansanas,0,none,non_dyslexic
Siya ng kumakain ng mansanas,Siya ay kumakain ng mansanas,1,grammar,dyslexic
Siya ay kumakain ng mansanas,Siya ay kumakain ng mansanas,0,none,non_dyslexic
Ang aking pusa ay napaka-cute,Siya ay kumakain ng mansanas,1,spelling,dyslexic
Ang mga bulaklak ay namumulaklak,Ang mga bulaklak ay namumulaklak,0,none,non_dyslexic
Mahilig siyang mag-drawing,Ang mga bulaklak ay namumulaklak,1,spelling,dyslexic
Pumunta kami sa zoo,Pumunta kami sa zoo,0,none,non_dyslexic
Ang aking pusa ay napaka-cute,Pumunta kami sa zoo,1,spelling,dyslexic
Ang aking kapatid ay naglalaro ng bola,Ang aking kapatid ay naglalaro ng bola,0,none,non_dyslexic
Nakikita ko ang isang malaking puno,Ang aking kapatid ay naglalaro ng bola,1,spelling,dyslexic
Ang pusa ay tumatalon sa kama,Ang pusa ay tumatalon sa kama,0,none,non_dyslexic
Nakikita ko ang isang bahaghari sa langit,Ang pusa ay tumatalon sa kama,1,spelling,dyslexic
Ang araw ay sumisikat sa langit,Ang araw ay sumisikat sa langit,0,none,non_dyslexic
Ang puno ay mataas at malakas,Ang araw ay sumisikat sa langit,1,spelling,dyslexic
Nakikita ko ang isang bahaghari sa langit,Nakikita ko ang isang bahaghari sa langit,0,none,non_dyslexic
Ang aso ng tumatakbo sa parke,Nakikita ko ang isang bahaghari sa langit,1,grammar,dyslexic
Ang aso ay tumatakbo sa parke,Ang aso ay tumatakbo sa parke,0,none,non_dyslexic
Ang aking kapatid ay naglalaro ng bola,Ang aso ay tumatakbo sa parke,1,spelling,dyslexic
Nakikita ko ang isang malaking puno,Nakikita ko ang isang malaking puno,0,none,non_dyslexic
Naglalaro kami ng bola,Nakikita ko ang isang malaking puno,1,grammar,dyslexic
Ang aking pusa ay napaka-cute,Ang aking pusa ay napaka-cute,0,none,non_dyslexic
Ang puno ay mataas at malakas,Ang aking pusa ay napaka-cute,1,spelling,dyslexic
Nakikita ko ang isang bahaghari sa langit,Nakikita ko ang isang bahaghari sa langit,0,none,non_dyslexic
Naglalaro sila ng basketball,Nakikita ko ang isang bahaghari sa langit,1,grammar,dyslexic
Pumunta kami sa zoo,Pumunta kami sa zoo,0,none,non_dyslexic
Nakikita ko ang isang malaking puno,Pumunta kami sa zoo,1,grammar,dyslexic
Ako ay tumatakbo ng mabilis,Ako ay tumatakbo ng mabilis,0,none,non_dyslexic
Ang araw ay sumisikat sa langit,Ako ay tumatakbo ng mabilis,1,spelling,dyslexic
Pumunta kami sa zoo,Pumunta kami sa zoo,0,none,non_dyslexic
Ang ibon ng lumilipad sa taas,Pumunta kami sa zoo,1,grammar,dyslexic
Ang sasakyan ay nakaparada sa labas,Ang sasakyan ay nakaparada sa labas,0,none,non_dyslexic
Naglalaro kami ng bola,Ang sasakyan ay nakaparada sa labas,1,grammar,dyslexic
Ang ibon ay lumilipad sa taas,Ang ibon ay lumilipad sa taas,0,none,non_dyslexic
Ang araw ay sumisikat sa langit,Ang ibon ay lumilipad sa taas,1,spelling,dyslexic
Ang aking pusa ay napaka-cute,Ang aking pusa ay napaka-cute,0,none,non_dyslexic
Ang aking kapatid ng naglalaro ng bola,Ang aking pusa ay napaka-cute,1,grammar,dyslexic
Siya ay kumakain ng mansanas,Siya ay kumakain ng mansanas,0,none,non_dyslexic
Nakikita ko ang isang bahaghari sa langit,Siya ay kumakain ng mansanas,1,spelling,dyslexic
Ang sasakyan ay nakaparada sa labas,Ang sasakyan ay nakaparada sa labas,0,none,non_dyslexic
Ang puno ay mataas at malakas,Ang sasakyan ay nakaparada sa labas,1,spelling,dyslexic
Nakikita ko ang isang bahaghari sa langit,Nakikita ko ang isang bahaghari sa langit,0,none,non_dyslexic
Ang aking pusa ng napaka-cute,Nakikita ko ang isang bahaghari sa langit,1,grammar,dyslexic
Ang araw ay sumisikat sa langit,Ang araw ay sumisikat sa langit,0,none,non_dyslexic
Nakikita ko ang isang malaking puno,Ang araw ay sumisikat sa langit,1,spelling,dyslexic
Pumunta kami sa dalampasigan,Pumunta kami sa dalampasigan,0,none,non_dyslexic
Ang ibon ng lumilipad sa taas,Pumunta kami sa dalampasigan,1,grammar,dyslexic
Ang aso ay tumatakbo sa parke,Ang aso ay tumatakbo sa parke,0,none,non_dyslexic
Naglalaro sila ng basketball,Ang aso ay tumatakbo sa parke,1,spelling,dyslexic
Naglalaro sila ng basketball,Naglalaro sila ng basketball,0,none,non_dyslexic
Siya ay kumakain ng mansanas,Naglalaro sila ng basketball,1,spelling,dyslexic
Ang mga bulaklak ay namumulaklak,Ang mga bulaklak ay namumulaklak,0,none,non_dyslexic
Naglalaro kami ng bola,Ang mga bulaklak ay namumulaklak,1,grammar,dyslexic
Nakikita ko ang isang bahaghari sa langit,Nakikita ko ang isang bahaghari sa langit,0,none,non_dyslexic
Ang pusa ay tumatalon sa kama,Nakikita ko ang isang bahaghari sa langit,1,spelling,dyslexic
Pumunta kami sa zoo,Pumunta kami sa zoo,0,none,non_dyslexic
Ang puno ng mataas at malakas,Pumunta kami sa zoo,1,grammar,dyslexic
Ang pusa ay tumatalon sa kama,Ang pusa ay tumatalon sa kama,0,none,non_dyslexic
Ang mga bulaklak ng namumulaklak,Ang pusa ay tumatalon sa kama,1,grammar,dyslexic
Naglalaro sila ng basketball,Naglalaro sila ng basketball,0,none,non_dyslexic
Ang mga bituin ng kumikislap sa gabi,Naglalaro sila ng basketball,1,grammar,dyslexic
Nagbabasa siya ng libro,Nagbabasa siya ng libro,0,none,non_dyslexic
Naglalaro kami ng bola,Nagbabasa siya ng libro,1,grammar,dyslexic
