question_type,left_number,right_number,correct_answer,user_answer,response_time_sec,at_risk
Choose the number closest to 10.,6,32,left,left,4.42,0
Which is bigger?,2,23,right,right,3.53,0
Which is smaller?,13,59,left,left,3.99,0
Choose the number closest to 10.,9,14,left,left,4.55,0
Choose the number closest to 10.,79,29,right,right,4.01,0
Which is bigger?,55,44,left,right,6.35,1
Choose the number closest to 10.,87,52,right,right,3.89,0
Choose the number closest to 10.,74,70,right,right,3.91,0
Which is bigger?,98,6,left,left,3.63,0
Which is smaller?,9,16,left,left,3.74,0
Which is smaller?,22,90,left,left,5.6,0
Which is bigger?,57,32,left,right,7.84,1
Which is bigger?,18,13,left,left,3.7,0
Choose the number closest to 10.,79,49,right,right,4.7,0
Which is bigger?,63,11,left,left,3.67,0
Which is bigger?,12,91,right,right,5.17,0
Which is smaller?,54,89,left,right,7.55,1
Which is smaller?,89,17,right,right,3.89,0
Choose the number closest to 10.,35,67,left,left,4.45,0
Which is bigger?,23,79,right,right,2.43,0
Choose the number closest to 10.,24,92,left,left,2.87,0
Which is bigger?,81,39,left,left,2.81,0
Which is bigger?,72,31,left,left,4.14,0
Choose the number closest to 10.,13,80,left,left,5.73,0
Choose the number closest to 10.,65,29,right,right,6.23,1
Choose the number closest to 10.,85,27,right,right,4.64,0
Which is bigger?,15,20,right,right,4.5,0
Which is smaller?,64,23,right,right,2.2,0
Which is bigger?,7,83,right,right,3.46,0
Which is bigger?,56,33,left,left,3.21,0
Which is smaller?,6,14,left,left,3.38,0
Choose the number closest to 10.,23,21,right,right,3.83,0
Which is smaller?,66,15,right,right,3.53,0
Which is bigger?,93,57,left,left,2.02,0
Which is smaller?,54,26,right,right,4.75,0
Which is smaller?,30,100,left,left,2.93,0
Which is bigger?,13,31,right,right,4.24,0
Which is bigger?,49,29,left,left,6.07,1
Choose the number closest to 10.,63,7,right,left,5.62,1
Which is bigger?,28,79,right,right,1.47,0
Which is smaller?,48,18,right,right,3.71,0
Which is bigger?,81,46,left,right,8.65,1
Which is bigger?,43,17,left,left,5.96,0
Choose the number closest to 10.,8,36,left,left,2.77,0
Which is smaller?,59,54,right,right,4.5,0
Which is smaller?,29,38,left,left,3.53,0
Choose the number closest to 10.,79,22,right,right,3.89,0
Choose the number closest to 10.,30,12,right,right,6.64,1
Choose the number closest to 10.,63,28,right,right,2.5,0
Which is smaller?,36,2,right,right,4.25,0
Choose the number closest to 10.,32,42,left,left,4.47,0
Which is bigger?,76,20,left,right,8.63,1
Which is bigger?,54,6,left,left,4.1,0
Which is smaller?,94,99,left,left,4.31,0
Which is smaller?,68,51,right,right,3.61,0
Choose the number closest to 10.,13,58,left,left,4.27,0
Which is bigger?,72,97,right,right,3.66,0
Choose the number closest to 10.,53,28,right,right,4.62,0
Which is smaller?,31,83,left,right,6.45,1
Which is bigger?,62,86,right,right,4.38,0
Choose the number closest to 10.,59,74,left,left,3.97,0
Which is bigger?,59,60,right,right,5.13,0
Choose the number closest to 10.,52,24,right,right,3.95,0
Which is smaller?,81,60,right,right,2.23,0
Which is bigger?,81,10,left,left,5.26,0
Choose the number closest to 10.,43,68,left,left,3.09,0
Which is smaller?,97,35,right,right,3.35,0
Choose the number closest to 10.,70,74,left,left,3.4,0
Choose the number closest to 10.,11,80,left,right,9.06,1
Choose the number closest to 10.,8,66,left,right,3.8,1
Choose the number closest to 10.,47,7,right,right,7.14,1
Which is smaller?,60,80,left,left,5.06,0
Which is smaller?,23,83,left,left,4.22,0
Which is bigger?,72,91,right,right,3.95,0
Which is bigger?,43,31,left,left,4.29,0
Choose the number closest to 10.,62,95,left,right,7.78,1
Choose the number closest to 10.,90,27,right,right,4.65,0
Which is bigger?,42,46,right,left,7.83,1
Choose the number closest to 10.,88,55,right,right,4.09,0
Which is bigger?,48,45,left,left,3.8,0
Choose the number closest to 10.,68,16,right,right,3.85,0
Choose the number closest to 10.,87,69,right,left,6.71,1
Which is smaller?,80,48,right,right,5.13,0
Choose the number closest to 10.,9,25,left,right,7.89,1
Which is smaller?,12,11,right,right,1.06,0
Which is bigger?,37,10,left,left,4.66,0
Which is smaller?,15,90,left,left,4.19,0
Which is bigger?,27,67,right,left,6.97,1
Which is bigger?,38,54,right,left,6.42,1
Choose the number closest to 10.,17,61,left,left,5.12,0
Which is smaller?,95,83,right,right,4.95,0
Which is bigger?,9,3,left,right,5.84,1
Which is bigger?,67,83,right,right,4.41,0
Choose the number closest to 10.,44,84,left,left,3.03,0
Which is smaller?,63,76,left,left,2.62,0
Choose the number closest to 10.,71,57,right,right,3.37,0
Choose the number closest to 10.,17,40,left,left,4.86,0
Which is smaller?,30,62,left,left,4.95,0
Which is smaller?,99,7,right,right,4.51,0
Which is smaller?,59,22,right,right,4.73,0
Which is bigger?,92,69,left,left,4.52,0
Which is bigger?,91,89,left,right,6.04,1
Which is bigger?,21,31,right,right,4.43,0
Which is smaller?,74,17,right,right,4.8,0
Which is smaller?,24,27,left,left,4.75,0
Which is bigger?,86,41,left,right,8.78,1
Which is bigger?,48,58,right,right,4.71,0
Which is bigger?,69,39,left,left,4.35,0
Which is bigger?,52,64,right,right,5.07,0
Which is smaller?,41,20,right,right,3.97,0
Choose the number closest to 10.,70,65,right,right,3.12,0
Choose the number closest to 10.,38,61,left,right,6.76,1
Choose the number closest to 10.,86,19,right,right,3.26,0
Choose the number closest to 10.,57,44,right,right,3.32,0
Choose the number closest to 10.,62,6,right,right,3.86,0
Choose the number closest to 10.,15,40,left,left,3.21,0
Choose the number closest to 10.,29,58,left,left,3.69,0
Which is smaller?,8,78,left,left,2.11,0
Choose the number closest to 10.,68,29,right,right,4.21,0
Which is smaller?,26,3,right,right,4.0,0
Which is smaller?,87,86,right,left,5.77,1
Choose the number closest to 10.,51,25,right,right,4.66,0
Choose the number closest to 10.,78,66,right,left,8.41,1
Choose the number closest to 10.,47,51,left,left,2.39,0
Which is smaller?,48,50,left,left,3.24,0
Which is smaller?,45,40,right,left,5.85,1
Choose the number closest to 10.,12,28,left,left,3.06,0
Which is smaller?,95,54,right,left,8.24,1
Which is smaller?,21,94,left,right,6.71,1
Which is smaller?,94,54,right,right,3.74,0
Choose the number closest to 10.,77,12,right,right,2.0,0
Which is smaller?,61,68,left,right,7.95,1
Which is bigger?,76,97,right,right,2.76,0
Which is bigger?,53,82,right,left,7.09,1
Which is smaller?,23,72,left,left,4.28,0
Choose the number closest to 10.,97,18,right,right,5.36,0
Which is smaller?,38,71,left,left,2.69,0
Which is smaller?,75,39,right,right,0.98,0
Choose the number closest to 10.,60,29,right,right,4.18,0
Which is bigger?,20,34,right,right,5.8,0
Choose the number closest to 10.,82,61,right,right,5.24,0
Choose the number closest to 10.,37,54,left,left,4.21,0
Choose the number closest to 10.,83,32,right,right,3.51,0
Which is smaller?,64,9,right,right,4.81,0
Which is smaller?,75,62,right,right,3.03,0
Which is smaller?,81,88,left,left,4.48,0
Choose the number closest to 10.,16,48,left,left,4.51,0
Choose the number closest to 10.,3,34,left,left,5.06,0
Which is bigger?,19,41,right,right,6.76,1
Choose the number closest to 10.,18,46,left,left,4.39,0
Which is smaller?,47,54,left,left,3.49,0
Which is smaller?,7,38,left,left,3.97,0
Choose the number closest to 10.,10,66,left,left,2.23,0
Choose the number closest to 10.,24,98,left,left,3.31,0
Which is bigger?,70,42,left,right,6.39,1
Choose the number closest to 10.,39,35,right,right,3.48,0
Choose the number closest to 10.,47,13,right,right,4.15,0
Which is smaller?,19,2,right,right,3.18,0
Which is smaller?,48,100,left,left,5.12,0
Which is smaller?,21,14,right,right,4.0,0
Choose the number closest to 10.,29,25,right,right,3.99,0
Choose the number closest to 10.,79,89,left,right,6.51,1
Choose the number closest to 10.,69,92,left,left,4.16,0
Which is bigger?,54,59,right,left,8.24,1
Which is bigger?,17,3,left,left,3.13,0
Which is smaller?,89,47,right,right,3.34,0
Which is smaller?,77,67,right,right,3.7,0
Which is smaller?,23,91,left,left,2.65,0
Choose the number closest to 10.,16,29,left,left,3.18,0
Choose the number closest to 10.,19,89,left,left,3.52,0
Which is bigger?,27,17,left,right,8.31,1
Which is smaller?,89,98,left,left,4.26,0
Which is bigger?,3,100,right,right,4.19,0
Which is smaller?,6,26,left,left,4.85,0
Choose the number closest to 10.,66,76,left,left,3.86,0
Which is bigger?,33,6,left,left,4.39,0
Choose the number closest to 10.,2,97,left,left,3.9,0
Which is bigger?,78,27,left,left,4.27,0
Which is bigger?,24,86,right,right,3.42,0
Which is bigger?,19,96,right,left,3.34,1
Choose the number closest to 10.,45,46,left,left,3.87,0
Choose the number closest to 10.,100,94,right,right,5.42,0
Choose the number closest to 10.,73,9,right,right,4.93,0
Choose the number closest to 10.,98,2,right,right,4.97,0
Choose the number closest to 10.,25,37,left,left,5.24,0
Choose the number closest to 10.,1,93,left,left,4.09,0
Which is bigger?,65,91,right,right,4.2,0
Choose the number closest to 10.,76,24,right,right,3.38,0
Which is bigger?,24,46,right,left,6.53,1
Which is smaller?,28,66,left,left,4.62,0
Which is bigger?,98,41,left,left,5.2,0
Which is bigger?,67,18,left,left,3.86,0
Which is smaller?,91,37,right,right,3.55,0
Which is bigger?,11,42,right,right,4.0,0
Which is smaller?,37,59,left,left,4.6,0
Which is smaller?,88,57,right,right,2.56,0
Which is smaller?,38,55,left,left,1.7,0
Which is bigger?,61,87,right,right,3.45,0
Which is bigger?,87,63,left,left,2.78,0
Which is smaller?,57,67,left,left,3.49,0
Which is bigger?,16,19,right,right,3.85,0
Choose the number closest to 10.,76,14,right,right,3.55,0
Which is bigger?,9,47,right,left,9.18,1
Which is smaller?,26,77,left,right,7.49,1
Which is smaller?,16,30,left,right,7.45,1
Choose the number closest to 10.,64,36,right,right,4.62,0
Choose the number closest to 10.,76,35,right,right,2.86,0
Choose the number closest to 10.,52,46,right,right,5.04,0
Choose the number closest to 10.,52,63,left,left,3.92,0
Which is bigger?,99,59,left,left,4.67,0
Which is smaller?,63,64,left,left,2.93,0
Which is bigger?,4,13,right,right,2.45,0
Which is bigger?,64,87,right,right,4.82,0
Which is bigger?,49,78,right,right,4.38,0
Which is bigger?,39,80,right,right,3.1,0
Which is bigger?,85,97,right,right,3.13,0
Which is smaller?,60,26,right,right,5.13,0
Which is smaller?,63,65,left,left,2.81,0
Which is smaller?,70,3,right,left,9.46,1
Which is bigger?,56,16,left,left,3.1,0
Which is smaller?,49,57,left,left,4.64,0
Which is bigger?,23,72,right,right,3.67,0
Which is smaller?,91,22,right,right,4.6,0
Which is bigger?,40,92,right,right,3.46,0
Which is bigger?,73,87,right,right,3.84,0
Choose the number closest to 10.,88,70,right,right,4.04,0
Which is smaller?,72,21,right,right,3.0,0
Which is smaller?,34,64,left,left,4.74,0
Which is smaller?,79,87,left,left,3.49,0
Which is smaller?,42,8,right,right,3.77,0
Which is bigger?,17,47,right,right,3.01,0
Choose the number closest to 10.,75,4,right,right,1.44,0
Choose the number closest to 10.,44,49,left,left,3.81,0
Which is smaller?,46,53,left,left,6.41,1
Choose the number closest to 10.,32,31,right,right,4.78,0
Choose the number closest to 10.,11,89,left,left,3.98,0
Which is smaller?,15,44,left,left,3.74,0
Choose the number closest to 10.,42,5,right,right,4.02,0
Which is smaller?,73,66,right,left,7.82,1
Which is smaller?,3,90,left,left,2.82,0
Which is bigger?,41,49,right,right,5.11,0
Which is smaller?,74,13,right,left,8.07,1
Which is bigger?,89,87,left,left,4.72,0
Which is smaller?,65,98,left,left,4.44,0
Which is bigger?,79,39,left,left,4.02,0
Which is smaller?,26,64,left,left,4.67,0
Which is bigger?,69,28,left,left,4.59,0
Which is bigger?,39,74,right,right,3.65,0
Which is bigger?,80,96,right,left,6.14,1
Choose the number closest to 10.,75,13,right,right,4.1,0
Which is smaller?,9,73,left,right,9.32,1
Which is smaller?,55,27,right,right,2.76,0
Which is bigger?,84,39,left,left,2.53,0
Which is smaller?,56,85,left,left,4.16,0
Which is bigger?,54,52,left,left,4.05,0
Choose the number closest to 10.,59,86,left,left,4.17,0
Which is bigger?,3,81,right,right,4.24,0
Which is bigger?,74,64,left,left,3.78,0
Choose the number closest to 10.,60,35,right,left,9.23,1
Choose the number closest to 10.,79,99,left,right,4.6,1
Choose the number closest to 10.,94,81,right,right,3.17,0
Which is bigger?,47,60,right,right,3.9,0
Which is bigger?,96,88,left,left,2.36,0
Which is smaller?,53,41,right,left,6.74,1
Which is bigger?,82,27,left,right,9.49,1
Which is smaller?,37,83,left,left,4.02,0
Choose the number closest to 10.,77,31,right,right,4.23,0
Which is bigger?,20,25,right,right,2.74,0
Which is smaller?,60,63,left,left,3.38,0
Which is smaller?,55,83,left,right,6.44,1
Which is bigger?,21,35,right,right,3.68,0
Which is smaller?,36,85,left,left,5.28,0
Choose the number closest to 10.,6,93,left,left,4.56,0
Which is bigger?,8,11,right,right,2.89,0
Which is smaller?,9,53,left,right,7.37,1
Choose the number closest to 10.,85,12,right,right,4.5,0
Choose the number closest to 10.,18,31,left,left,5.14,0
Choose the number closest to 10.,65,16,right,right,5.58,0
Choose the number closest to 10.,100,68,right,right,2.98,0
Which is bigger?,31,77,right,right,3.19,0
Which is smaller?,43,75,left,left,2.74,0
Choose the number closest to 10.,96,31,right,left,6.65,1
Which is bigger?,19,14,left,left,4.47,0
Which is smaller?,57,53,right,right,4.99,0
Choose the number closest to 10.,8,63,left,left,3.92,0
Choose the number closest to 10.,15,41,left,left,3.68,0
Which is smaller?,88,32,right,left,7.23,1
Which is bigger?,47,61,right,right,3.16,0
Which is smaller?,3,83,left,right,10.13,1
Choose the number closest to 10.,5,95,left,left,2.39,0
Which is bigger?,89,86,left,left,4.18,0
Choose the number closest to 10.,50,40,right,right,6.02,1
Choose the number closest to 10.,47,88,left,left,4.01,0
Which is bigger?,57,50,left,left,3.81,0
Which is smaller?,33,39,left,left,3.64,0
Which is bigger?,39,27,left,right,6.73,1
Which is bigger?,57,81,right,right,5.37,0
Choose the number closest to 10.,53,5,right,right,1.79,0
Which is bigger?,100,63,left,left,5.53,0
Which is smaller?,43,92,left,left,2.58,0
Which is bigger?,21,90,right,right,3.73,0
Which is bigger?,46,54,right,right,3.57,0
Choose the number closest to 10.,95,42,right,right,4.59,0
Which is bigger?,98,7,left,left,2.4,0
Which is bigger?,81,57,left,left,4.46,0
Which is bigger?,1,52,right,right,6.02,1
Which is smaller?,41,74,left,left,2.64,0
Which is bigger?,32,67,right,right,4.19,0
Choose the number closest to 10.,98,17,right,left,6.01,1
Choose the number closest to 10.,53,41,right,right,4.43,0
Choose the number closest to 10.,18,34,left,left,4.02,0
Choose the number closest to 10.,42,37,right,right,3.36,0
Which is smaller?,48,24,right,right,4.49,0
Which is smaller?,74,29,right,right,5.8,0
Which is bigger?,72,83,right,right,3.81,0
Which is bigger?,12,60,right,right,4.72,0
Choose the number closest to 10.,22,7,right,right,2.71,0
Which is smaller?,77,34,right,right,3.04,0
Which is smaller?,22,73,left,left,4.47,0
Choose the number closest to 10.,68,56,right,right,5.48,0
Which is smaller?,87,64,right,right,4.36,0
Choose the number closest to 10.,27,25,right,left,6.53,1
Which is smaller?,37,96,left,left,4.0,0
Which is bigger?,56,27,left,left,2.75,0
Which is smaller?,94,87,right,right,4.6,0
Which is bigger?,53,19,left,left,4.88,0
Which is smaller?,31,80,left,left,3.55,0
Which is bigger?,48,75,right,right,3.53,0
Which is smaller?,11,2,right,right,4.27,0
Which is smaller?,89,51,right,right,3.56,0
Choose the number closest to 10.,50,91,left,left,3.93,0
Choose the number closest to 10.,33,10,right,right,6.1,1
Which is bigger?,7,43,right,left,6.63,1
Which is smaller?,46,78,left,right,6.46,1
Choose the number closest to 10.,91,96,left,right,6.03,1
Which is bigger?,33,65,right,right,4.74,0
Which is smaller?,51,86,left,left,3.82,0
Choose the number closest to 10.,6,75,left,left,3.35,0
Which is bigger?,65,64,left,right,8.98,1
Which is smaller?,17,12,right,right,5.42,0
Choose the number closest to 10.,56,19,right,right,3.4,0
Which is smaller?,6,17,left,left,2.13,0
Which is smaller?,96,47,right,left,8.51,1
Which is smaller?,34,79,left,right,5.97,1
Which is smaller?,67,41,right,right,4.79,0
Which is bigger?,41,95,right,left,4.04,1
Which is bigger?,72,85,right,right,4.89,0
Which is smaller?,7,25,left,left,2.79,0
Which is bigger?,24,5,left,left,4.73,0
Which is bigger?,91,60,left,left,4.01,0
Which is smaller?,6,57,left,left,3.05,0
Choose the number closest to 10.,72,63,right,right,3.59,0
Which is bigger?,93,19,left,left,4.69,0
Which is bigger?,27,37,right,right,4.11,0
Which is bigger?,96,66,left,right,7.88,1
Choose the number closest to 10.,85,75,right,right,5.98,0
Which is bigger?,68,99,right,right,2.44,0
Which is smaller?,10,32,left,left,5.62,0
Choose the number closest to 10.,13,43,left,left,4.1,0
Choose the number closest to 10.,88,16,right,right,3.1,0
Choose the number closest to 10.,14,42,left,left,2.67,0
Which is bigger?,59,91,right,right,3.81,0
Which is smaller?,81,35,right,right,4.92,0
Which is bigger?,43,6,left,left,3.87,0
Which is smaller?,42,94,left,right,9.27,1
Choose the number closest to 10.,17,28,left,right,4.82,1
Choose the number closest to 10.,37,42,left,left,3.99,0
Choose the number closest to 10.,10,71,left,right,5.12,1
Which is smaller?,12,52,left,left,4.36,0
Which is bigger?,99,52,left,left,4.89,0
Which is bigger?,21,50,right,right,3.58,0
Which is smaller?,83,97,left,right,3.09,1
Which is bigger?,16,39,right,right,4.2,0
Which is smaller?,95,40,right,left,7.66,1
Choose the number closest to 10.,17,46,left,left,4.4,0
Which is smaller?,66,26,right,right,5.24,0
Which is smaller?,61,35,right,right,2.93,0
Which is smaller?,12,97,left,left,4.68,0
Which is smaller?,79,24,right,right,5.19,0
Which is smaller?,12,6,right,right,2.22,0
Which is smaller?,87,29,right,right,4.32,0
Choose the number closest to 10.,20,64,left,left,3.5,0
Choose the number closest to 10.,68,11,right,right,3.92,0
Which is smaller?,11,62,left,left,4.35,0
Which is bigger?,88,39,left,right,6.27,1
Choose the number closest to 10.,55,38,right,right,3.32,0
Choose the number closest to 10.,10,6,left,left,4.03,0
Choose the number closest to 10.,55,53,right,right,2.91,0
Choose the number closest to 10.,93,73,right,left,5.37,1
Which is smaller?,33,75,left,left,4.68,0
Choose the number closest to 10.,3,15,right,right,2.85,0
Which is smaller?,23,24,left,right,8.0,1
Which is bigger?,11,54,right,left,7.69,1
Which is smaller?,41,76,left,left,2.27,0
Choose the number closest to 10.,58,80,left,right,5.98,1
Which is smaller?,24,28,left,left,5.19,0
Choose the number closest to 10.,78,34,right,left,5.53,1
Which is bigger?,56,69,right,right,3.54,0
Which is smaller?,15,2,right,right,4.46,0
Which is smaller?,59,89,left,left,4.78,0
Choose the number closest to 10.,96,78,right,right,3.75,0
Which is smaller?,80,79,right,right,3.4,0
Choose the number closest to 10.,89,87,right,right,5.42,0
Which is smaller?,12,17,left,left,5.74,0
Which is bigger?,15,3,left,left,4.98,0
Which is bigger?,4,27,right,right,4.09,0
Which is bigger?,84,31,left,left,3.19,0
Choose the number closest to 10.,69,25,right,right,3.17,0
Which is smaller?,19,61,left,left,4.52,0
Which is bigger?,22,20,left,left,4.42,0
Which is smaller?,63,61,right,right,5.4,0
Which is smaller?,75,32,right,right,4.65,0
Choose the number closest to 10.,51,7,right,right,2.5,0
Which is bigger?,81,92,right,right,5.05,0
Which is smaller?,64,95,left,left,3.0,0
Choose the number closest to 10.,71,38,right,right,3.62,0
Which is smaller?,63,66,left,left,4.25,0
Choose the number closest to 10.,87,63,right,right,6.0,0
Which is bigger?,68,3,left,left,7.11,1
Which is smaller?,71,9,right,right,4.61,0
Choose the number closest to 10.,54,61,left,left,3.82,0
Choose the number closest to 10.,83,45,right,right,4.53,0
Which is smaller?,3,21,left,left,4.89,0
Which is bigger?,61,45,left,left,3.68,0
Choose the number closest to 10.,29,76,left,right,9.69,1
Which is smaller?,78,92,left,left,4.23,0
Which is bigger?,38,93,right,right,4.5,0
Which is smaller?,87,84,right,right,4.67,0
Which is smaller?,21,80,left,left,4.42,0
Choose the number closest to 10.,96,12,right,right,4.84,0
Which is bigger?,23,26,right,right,3.38,0
Which is smaller?,13,54,left,right,6.16,1
Which is smaller?,39,31,right,right,2.9,0
Which is bigger?,3,46,right,left,7.66,1
Which is smaller?,87,21,right,right,4.78,0
Choose the number closest to 10.,5,9,right,right,4.46,0
Which is bigger?,80,30,left,left,5.67,0
Which is bigger?,63,34,left,right,6.99,1
Which is smaller?,99,6,right,right,4.67,0
Choose the number closest to 10.,35,20,right,left,5.36,1
Choose the number closest to 10.,78,86,left,left,3.61,0
Which is bigger?,57,59,right,left,8.04,1
Which is bigger?,14,79,right,right,4.85,0
Which is bigger?,72,6,left,left,3.71,0
Which is bigger?,81,16,left,right,6.89,1
Which is smaller?,21,94,left,left,2.48,0
Which is smaller?,98,65,right,right,3.64,0
Which is bigger?,20,83,right,right,4.89,0
Which is bigger?,16,26,right,right,4.58,0
Which is smaller?,99,1,right,right,4.5,0
Which is smaller?,44,37,right,right,4.05,0
Which is bigger?,35,48,right,right,4.01,0
Which is smaller?,47,81,left,left,3.34,0
Which is bigger?,97,68,left,left,4.7,0
Which is bigger?,18,55,right,right,4.42,0
Which is smaller?,59,67,left,left,4.49,0
Which is smaller?,4,57,left,left,3.47,0
Which is bigger?,92,67,left,right,3.77,1
Which is bigger?,44,41,left,left,5.1,0
Which is bigger?,56,8,left,left,3.52,0
Which is bigger?,85,83,left,left,3.14,0
Choose the number closest to 10.,8,81,left,right,8.04,1
Choose the number closest to 10.,67,38,right,right,3.61,0
Choose the number closest to 10.,90,71,right,left,8.59,1
Choose the number closest to 10.,96,41,right,left,7.93,1
Which is bigger?,36,68,right,right,4.68,0
Which is bigger?,90,52,left,left,2.63,0
Which is bigger?,70,80,right,right,5.21,0
Choose the number closest to 10.,57,90,left,left,4.26,0
Choose the number closest to 10.,52,100,left,left,3.63,0
Which is smaller?,11,5,right,right,4.14,0
Which is smaller?,93,95,left,right,4.34,1
Choose the number closest to 10.,70,37,right,right,4.41,0
Choose the number closest to 10.,71,40,right,right,2.97,0
Choose the number closest to 10.,21,3,right,right,2.65,0
Choose the number closest to 10.,76,34,right,right,2.48,0
Which is smaller?,93,55,right,left,8.67,1
Which is bigger?,94,8,left,right,6.06,1
Which is smaller?,81,65,right,right,5.53,0
Which is bigger?,97,84,left,right,6.2,1
Which is smaller?,39,74,left,left,2.29,0
Which is smaller?,44,31,right,left,5.33,1
Choose the number closest to 10.,73,92,left,right,8.85,1
Choose the number closest to 10.,86,69,right,left,6.77,1
Which is bigger?,45,39,left,left,3.45,0
Choose the number closest to 10.,74,87,left,left,4.16,0
Which is smaller?,67,95,left,left,4.5,0
Which is smaller?,67,75,left,left,5.12,0
Which is smaller?,59,13,right,right,5.45,0
Which is smaller?,53,11,right,right,3.64,0
Which is smaller?,17,61,left,left,2.67,0
Which is bigger?,48,87,right,right,3.59,0
Choose the number closest to 10.,72,67,right,right,4.26,0
Which is smaller?,75,64,right,right,3.04,0
Which is smaller?,89,63,right,right,3.04,0
Which is smaller?,21,19,right,right,4.34,0
Which is smaller?,92,59,right,right,3.95,0
Choose the number closest to 10.,66,68,left,left,4.03,0
Which is bigger?,59,61,right,right,3.24,0
Which is bigger?,72,48,left,right,6.65,1
Which is bigger?,78,53,left,left,3.08,0
Which is smaller?,74,38,right,right,4.89,0
Which is bigger?,16,48,right,right,5.04,0
Which is smaller?,39,38,right,right,2.15,0
Which is bigger?,19,76,right,right,3.07,0
Which is smaller?,37,28,right,right,2.5,0
Choose the number closest to 10.,63,1,right,right,3.35,0
Which is smaller?,9,6,right,right,3.92,0
Choose the number closest to 10.,40,73,left,left,2.55,0
Which is smaller?,49,61,left,right,5.62,1
Choose the number closest to 10.,17,98,left,left,3.0,0
Choose the number closest to 10.,59,98,left,left,4.21,0
Which is smaller?,20,94,left,left,4.07,0
Choose the number closest to 10.,86,80,right,right,3.28,0
Which is bigger?,51,44,left,left,4.18,0
Choose the number closest to 10.,57,95,left,left,3.45,0
Which is bigger?,22,91,right,right,3.73,0
Choose the number closest to 10.,99,91,right,right,5.67,0
Choose the number closest to 10.,16,83,left,left,5.34,0
Which is bigger?,80,70,left,left,2.7,0
Which is bigger?,73,67,left,left,4.83,0
Which is smaller?,65,3,right,right,4.81,0
Choose the number closest to 10.,24,3,right,right,2.85,0
Which is bigger?,32,91,right,left,8.23,1
Choose the number closest to 10.,57,11,right,left,9.31,1
Choose the number closest to 10.,42,52,left,left,2.88,0
Which is smaller?,3,44,left,left,3.08,0
Which is smaller?,4,68,left,left,5.02,0
Which is smaller?,12,15,left,right,7.41,1
Choose the number closest to 10.,22,37,left,left,4.55,0
Which is smaller?,99,12,right,right,4.34,0
Which is smaller?,87,22,right,right,4.39,0
Which is smaller?,24,4,right,right,2.67,0
Which is smaller?,50,13,right,right,5.05,0
Which is smaller?,42,34,right,right,5.17,0
Which is bigger?,7,26,right,right,3.77,0
Choose the number closest to 10.,76,31,right,right,3.96,0
Choose the number closest to 10.,50,15,right,right,2.47,0
Which is smaller?,60,71,left,left,4.51,0
Which is smaller?,4,53,left,left,4.57,0
Which is bigger?,35,71,right,left,6.91,1
Choose the number closest to 10.,13,32,left,left,5.12,0
Choose the number closest to 10.,17,39,left,left,3.67,0
Which is smaller?,11,82,left,left,4.56,0
Which is bigger?,48,70,right,left,5.47,1
Which is bigger?,69,55,left,right,6.96,1
Choose the number closest to 10.,58,6,right,right,3.83,0
Which is smaller?,80,38,right,right,4.23,0
Which is bigger?,1,8,right,left,6.45,1
Which is smaller?,35,77,left,left,3.87,0
Choose the number closest to 10.,49,45,right,left,8.24,1
Which is bigger?,75,66,left,left,3.56,0
Which is bigger?,95,69,left,left,2.39,0
Which is smaller?,12,51,left,left,5.75,0
Which is bigger?,93,72,left,right,9.07,1
Which is smaller?,27,79,left,left,2.71,0
Which is smaller?,88,44,right,right,4.69,0
Choose the number closest to 10.,58,35,right,right,3.5,0
Which is smaller?,44,27,right,right,4.26,0
Choose the number closest to 10.,43,3,right,left,7.44,1
Which is bigger?,83,1,left,left,3.77,0
Which is bigger?,2,87,right,right,3.22,0
Choose the number closest to 10.,90,91,left,left,3.31,0
Which is smaller?,69,11,right,right,3.08,0
Choose the number closest to 10.,84,10,right,right,3.17,0
Choose the number closest to 10.,57,87,left,left,3.93,0
Which is smaller?,77,46,right,right,3.28,0
Choose the number closest to 10.,2,16,right,right,4.68,0
Which is bigger?,57,2,left,left,5.49,0
Which is bigger?,98,36,left,left,3.42,0
Choose the number closest to 10.,46,25,right,right,4.24,0
Choose the number closest to 10.,81,39,right,left,7.75,1
Which is bigger?,30,64,right,left,7.71,1
Which is bigger?,36,64,right,left,7.11,1
Choose the number closest to 10.,78,27,right,right,4.74,0
Choose the number closest to 10.,51,15,right,left,7.72,1
Choose the number closest to 10.,65,64,right,right,2.76,0
Which is bigger?,85,95,right,right,4.87,0
Choose the number closest to 10.,78,73,right,right,4.89,0
Choose the number closest to 10.,17,96,left,left,3.24,0
Which is smaller?,73,30,right,left,7.06,1
Choose the number closest to 10.,36,25,right,left,8.02,1
Which is bigger?,89,87,left,left,3.79,0
Which is smaller?,88,72,right,left,8.61,1
Which is bigger?,55,83,right,right,6.36,1
Choose the number closest to 10.,7,42,left,left,3.21,0
Which is smaller?,36,16,right,right,2.62,0
Which is smaller?,64,47,right,right,4.3,0
Which is bigger?,93,29,left,left,4.72,0
Which is smaller?,69,58,right,right,3.77,0
Which is smaller?,25,43,left,left,5.45,0
Choose the number closest to 10.,4,95,left,left,2.66,0
Choose the number closest to 10.,55,10,right,left,8.04,1
Which is bigger?,22,43,right,right,3.39,0
Choose the number closest to 10.,81,13,right,right,5.72,0
Which is smaller?,4,76,left,left,5.99,0
Which is smaller?,33,32,right,right,3.23,0
Which is bigger?,44,7,left,right,6.18,1
